run_id,model_id,mean_residual_deviance,rmse,mse,mae,rmsle,auc,log_loss
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_234613_model_1,0.7295137139867283,0.8541157497592047,0.7295137139867283,0.7026748686869084,,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190422_000108_model_1,1.396699595832692,1.1818204583745755,1.396699595832692,1.0031323516667887,,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_232600_model_1,1.9673985118992523,1.402639836843105,1.9673985118992523,1.1451472188517489,0.16622193197078178,,
lOBYWUG72,GBM_grid_1_AutoML_20190422_000108_model_2,2.3002709541960527,1.5166644171325616,2.3002709541960527,1.2348996836683952,0.17830360335781711,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190422_000108_model_4,2.5401570583340174,1.5937870178709632,2.5401570583340174,1.2463962782052556,,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_234613_model_3,2.7316781690375223,1.6527789232191707,2.7316781690375223,1.2494881427804765,,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_233433_model_3,7.017193041663741,2.6489984978598504,7.017193041663741,2.3068639937392263,0.3076705864910263,,
lOBYWUG72,GBM_grid_1_AutoML_20190422_000108_model_4,8.629435956453314,2.9375901614168907,8.629435956453314,2.4708945283339694,0.3225498845531639,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_234613_model_4,12.733215205698393,3.5683630989150177,12.733215205698393,3.011189527739412,0.3838117920159,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_232600_model_2,17.428579925980173,4.174755073771415,17.428579925980173,3.527865146261557,0.4418679525130291,,
p7TZ8WufJ,GLM_grid_1_AutoML_20190421_232600_model_1,0.0017717914375695433,0.042092653011773236,0.0017717914375695433,0.016515540490018073,0.0059090858894777,,
p7TZ8WufJ,StackedEnsemble_BestOfFamily_AutoML_20190421_232600,0.0026282015283909856,0.051265988027063183,0.0026282015283909856,0.017612254985869012,0.0054954739875861655,,
p7TZ8WufJ,StackedEnsemble_AllModels_AutoML_20190421_232600,0.002952364657907036,0.05433566653595994,0.002952364657907036,0.01025927237389093,0.005551733960896098,,
p7TZ8WufJ,GBM_2_AutoML_20190421_232600,0.0036673493130779883,0.06055864358684058,0.0036673493130779883,0.010528818652061423,0.0066251239997952285,,
p7TZ8WufJ,XRT_1_AutoML_20190421_232600,0.0036840188795788783,0.0606961191475936,0.0036840188795788783,0.014907830565662975,0.006035465751523815,,
p7TZ8WufJ,GBM_1_AutoML_20190421_232600,0.004193159138243675,0.06475460708122377,0.004193159138243675,0.017707024485776296,0.00693974857274476,,
p7TZ8WufJ,DRF_1_AutoML_20190421_232600,0.004620385686444586,0.06797341896980456,0.004620385686444586,0.017663789195114226,0.006943820432090886,,
p7TZ8WufJ,GBM_3_AutoML_20190421_232600,0.004931238627155975,0.07022277854910025,0.004931238627155975,0.014939361329772268,0.0073281571803369295,,
p7TZ8WufJ,GBM_4_AutoML_20190421_232600,0.005675554900315661,0.07533627877932159,0.005675554900315661,0.01092684021607928,0.007548594725523197,,
p7TZ8WufJ,GBM_5_AutoML_20190421_232600,0.006285325280579159,0.07928004339415537,0.006285325280579159,0.026468260052457133,0.009292915191736806,,
p7TZ8WufJ,DeepLearning_1_AutoML_20190421_232600,0.015792732148494547,0.12566913761339554,0.015792732148494547,0.09478767647873547,0.016994391827549363,,
p7TZ8WufJ,DeepLearning_grid_1_AutoML_20190421_232600_model_1,0.4461901678609199,0.6679746760625883,0.4461901678609199,0.5237135205349372,,,
p7TZ8WufJ,GBM_grid_1_AutoML_20190421_232600_model_1,1.9673985118992523,1.402639836843105,1.9673985118992523,1.1451472188517489,0.16622193197078178,,
p7TZ8WufJ,GBM_grid_1_AutoML_20190421_232600_model_2,17.428579925980173,4.174755073771415,17.428579925980173,3.527865146261557,0.4418679525130291,,
qlXRazR12,GLM_grid_1_AutoML_20190421_233433_model_1,0.0017717914375695433,0.042092653011773236,0.0017717914375695433,0.016515540490018073,0.0059090858894777,,
qlXRazR12,GLM_grid_1_AutoML_20190421_232600_model_1,0.0017717914375695433,0.042092653011773236,0.0017717914375695433,0.016515540490018073,0.0059090858894777,,
qlXRazR12,StackedEnsemble_BestOfFamily_AutoML_20190421_232600,0.0026282015283909856,0.051265988027063183,0.0026282015283909856,0.017612254985869012,0.0054954739875861655,,
qlXRazR12,StackedEnsemble_AllModels_AutoML_20190421_232600,0.002952364657907036,0.05433566653595994,0.002952364657907036,0.01025927237389093,0.005551733960896098,,
qlXRazR12,GBM_4_AutoML_20190421_233433,0.003495291753427986,0.05912099249359728,0.003495291753427986,0.012431652492186132,0.005637648315876197,,
qlXRazR12,GBM_2_AutoML_20190421_232600,0.0036673493130779883,0.06055864358684058,0.0036673493130779883,0.010528818652061423,0.0066251239997952285,,
qlXRazR12,XRT_1_AutoML_20190421_232600,0.0036840188795788783,0.0606961191475936,0.0036840188795788783,0.014907830565662975,0.006035465751523815,,
qlXRazR12,GBM_1_AutoML_20190421_233433,0.003784559304501867,0.0615187719684152,0.003784559304501867,0.017714375308829727,0.006001472589142189,,
qlXRazR12,GBM_2_AutoML_20190421_233433,0.004125881263643935,0.06423302315510251,0.004125881263643935,0.02356410540782678,0.006934261017246013,,
qlXRazR12,GBM_1_AutoML_20190421_232600,0.004193159138243675,0.06475460708122377,0.004193159138243675,0.017707024485776296,0.00693974857274476,,
